   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     731  5.24883094E-01  2.75502734E-01  7.59022763E-02  6.66664385E-01  2.72358004E-04  8.50929846E-01 -1.28136548E+00 -1.28114497E+00  0.00000000E+00
     741  5.24885251E-01  2.75504991E-01  7.59035117E-02  6.66664420E-01  2.68111000E-04  8.46446805E-01 -1.28134041E+00 -1.28111975E+00  0.00000000E+00
     751  5.24895495E-01  2.75515745E-01  7.59094374E-02  6.66664419E-01  2.68235336E-04  8.47569822E-01 -1.28134397E+00 -1.28112315E+00  0.00000000E+00
     761  5.24904141E-01  2.75524823E-01  7.59144402E-02  6.66664417E-01  2.68534772E-04  8.44616797E-01 -1.28134283E+00 -1.28112187E+00  0.00000000E+00
     771  5.24904010E-01  2.75524684E-01  7.59143635E-02  6.66664419E-01  2.68249323E-04  8.61614332E-01 -1.28133161E+00 -1.28111107E+00  0.00000000E+00
     781  5.24896078E-01  2.75516354E-01  7.59097692E-02  6.66664436E-01  2.66272057E-04  8.52151372E-01 -1.28131974E+00 -1.28109949E+00  0.00000000E+00
     791  5.24893466E-01  2.75513611E-01  7.59082572E-02  6.66664438E-01  2.65980129E-04  8.46867696E-01 -1.28131413E+00 -1.28109369E+00  0.00000000E+00
     801  5.24902171E-01  2.75522748E-01  7.59132913E-02  6.66664443E-01  2.65454070E-04  8.40965570E-01 -1.28131628E+00 -1.28109572E+00  0.00000000E+00
     811  5.24899947E-01  2.75520405E-01  7.59119902E-02  6.66664486E-01  2.60317062E-04  8.47652501E-01 -1.28131809E+00 -1.28109782E+00  0.00000000E+00
     821  5.24895897E-01  2.75516148E-01  7.59096379E-02  6.66664514E-01  2.56956289E-04  8.46574826E-01 -1.28131100E+00 -1.28109035E+00  0.00000000E+00
     831  5.24891665E-01  2.75511701E-01  7.59071824E-02  6.66664536E-01  2.54300870E-04  8.35244390E-01 -1.28131430E+00 -1.28109382E+00  0.00000000E+00
     841  5.24896438E-01  2.75516706E-01  7.59099351E-02  6.66664559E-01  2.51538956E-04  8.44631173E-01 -1.28130793E+00 -1.28108703E+00  0.00000000E+00
     851  5.24900043E-01  2.75520486E-01  7.59120132E-02  6.66664582E-01  2.48838674E-04  8.53718567E-01 -1.28129735E+00 -1.28107661E+00  0.00000000E+00
     861  5.24906342E-01  2.75527093E-01  7.59156475E-02  6.66664610E-01  2.45537362E-04  8.56124351E-01 -1.28130110E+00 -1.28108012E+00  0.00000000E+00
     871  5.24894621E-01  2.75514792E-01  7.59088731E-02  6.66664592E-01  2.47643681E-04  8.58001417E-01 -1.28130679E+00 -1.28108589E+00  0.00000000E+00
     881  5.24884613E-01  2.75504282E-01  7.59030791E-02  6.66664605E-01  2.46059792E-04  8.67505670E-01 -1.28129876E+00 -1.28107819E+00  0.00000000E+00
     891  5.24881155E-01  2.75500647E-01  7.59010699E-02  6.66664632E-01  2.42832293E-04  8.54401516E-01 -1.28130992E+00 -1.28108917E+00  0.00000000E+00
     901  5.24876100E-01  2.75495339E-01  7.58981436E-02  6.66664640E-01  2.41912079E-04  8.44765119E-01 -1.28131959E+00 -1.28109917E+00  0.00000000E+00
     911  5.24883929E-01  2.75503559E-01  7.59026746E-02  6.66664631E-01  2.42917423E-04  8.40022032E-01 -1.28132580E+00 -1.28110598E+00  0.00000000E+00
     921  5.24886584E-01  2.75506341E-01  7.59042017E-02  6.66664657E-01  2.39891212E-04  8.35506662E-01 -1.28132011E+00 -1.28110028E+00  0.00000000E+00
     931  5.24891914E-01  2.75511933E-01  7.59072784E-02  6.66664677E-01  2.37502530E-04  8.30416785E-01 -1.28132587E+00 -1.28110615E+00  0.00000000E+00
     941  5.24889984E-01  2.75509905E-01  7.59061593E-02  6.66664685E-01  2.36547839E-04  8.42194446E-01 -1.28132699E+00 -1.28110735E+00  0.00000000E+00
     951  5.24893759E-01  2.75513866E-01  7.59083394E-02  6.66664695E-01  2.35371850E-04  8.46779522E-01 -1.28133111E+00 -1.28111126E+00  0.00000000E+00
     961  5.24897003E-01  2.75517267E-01  7.59102088E-02  6.66664716E-01  2.32841139E-04  8.43856539E-01 -1.28134158E+00 -1.28112190E+00  0.00000000E+00
     971  5.24888424E-01  2.75508263E-01  7.59052491E-02  6.66664706E-01  2.33960664E-04  8.48344394E-01 -1.28133999E+00 -1.28112027E+00  0.00000000E+00
     981  5.24889501E-01  2.75509393E-01  7.59058721E-02  6.66664706E-01  2.33988323E-04  8.51387676E-01 -1.28135033E+00 -1.28113069E+00  0.00000000E+00
     991  5.24896784E-01  2.75517036E-01  7.59100812E-02  6.66664717E-01  2.32679148E-04  8.48107305E-01 -1.28135790E+00 -1.28113827E+00  0.00000000E+00
   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  5.25208223E-01  2.75843678E-01  7.60897345E-02  6.66666667E-01  8.29034197E-16 -6.52926779E-11 -1.28137854E+00 -1.28116884E+00  0.00000000E+00
      11  5.24712034E-01  2.75322778E-01  7.58026974E-02  6.66666380E-01  3.41753977E-05  4.13601585E-01 -1.28088677E+00 -1.28065038E+00  0.00000000E+00
      21  5.24541394E-01  2.75143866E-01  7.57043579E-02  6.66665738E-01  1.10676585E-04  7.96388015E-01 -1.28102919E+00 -1.28079957E+00  0.00000000E+00
      31  5.24748760E-01  2.75361497E-01  7.58242139E-02  6.66665525E-01  1.36166572E-04  1.00481519E+00 -1.28112532E+00 -1.28091352E+00  0.00000000E+00
      41  5.24645982E-01  2.75253741E-01  7.57649899E-02  6.66665048E-01  1.93108379E-04  1.14465929E+00 -1.28140547E+00 -1.28119555E+00  0.00000000E+00
      51  5.24451362E-01  2.75049634E-01  7.56527444E-02  6.66664714E-01  2.32828609E-04  9.61561871E-01 -1.28130515E+00 -1.28110118E+00  0.00000000E+00
      61  5.24543579E-01  2.75146356E-01  7.57059459E-02  6.66664779E-01  2.25094346E-04  7.96405708E-01 -1.28130356E+00 -1.28108886E+00  0.00000000E+00
      71  5.24796458E-01  2.75411839E-01  7.58522499E-02  6.66664166E-01  2.98391077E-04  8.89577129E-01 -1.28126893E+00 -1.28105369E+00  0.00000000E+00
      81  5.24849210E-01  2.75467122E-01  7.58826074E-02  6.66664593E-01  2.47523943E-04  7.27789114E-01 -1.28120268E+00 -1.28098698E+00  0.00000000E+00
      91  5.24959926E-01  2.75583349E-01  7.59466511E-02  6.66664609E-01  2.45795373E-04  6.52570671E-01 -1.28109924E+00 -1.28088333E+00  0.00000000E+00
     101  5.25088959E-01  2.75718892E-01  7.60214327E-02  6.66664363E-01  2.75278689E-04  7.21947853E-01 -1.28117897E+00 -1.28096427E+00  0.00000000E+00
     111  5.25127763E-01  2.75759615E-01  7.60438589E-02  6.66664504E-01  2.58438879E-04  7.45368189E-01 -1.28120761E+00 -1.28099020E+00  0.00000000E+00
     121  5.25111167E-01  2.75742232E-01  7.60343238E-02  6.66664275E-01  2.85573741E-04  7.21118164E-01 -1.28119578E+00 -1.28097432E+00  0.00000000E+00
     131  5.25143981E-01  2.75776693E-01  7.60533281E-02  6.66664284E-01  2.84550903E-04  7.42691324E-01 -1.28120121E+00 -1.28098203E+00  0.00000000E+00
     141  5.25189970E-01  2.75824977E-01  7.60799399E-02  6.66664381E-01  2.73076426E-04  7.01142459E-01 -1.28124560E+00 -1.28102728E+00  0.00000000E+00
     151  5.25260851E-01  2.75899457E-01  7.61210575E-02  6.66664271E-01  2.86321429E-04  7.68528680E-01 -1.28135288E+00 -1.28113238E+00  0.00000000E+00
     161  5.25298663E-01  2.75939156E-01  7.61429368E-02  6.66664393E-01  2.71719529E-04  7.26888217E-01 -1.28135105E+00 -1.28113166E+00  0.00000000E+00
     171  5.25320016E-01  2.75961563E-01  7.61552740E-02  6.66664522E-01  2.56355695E-04  7.35438825E-01 -1.28142884E+00 -1.28121073E+00  0.00000000E+00
     181  5.25273473E-01  2.75912660E-01  7.61282801E-02  6.66664547E-01  2.53365566E-04  7.40202866E-01 -1.28148515E+00 -1.28126647E+00  0.00000000E+00
     191  5.25223494E-01  2.75860172E-01  7.60993342E-02  6.66664478E-01  2.61587441E-04  8.35748465E-01 -1.28145861E+00 -1.28124046E+00  0.00000000E+00
     201  5.25189331E-01  2.75824266E-01  7.60795039E-02  6.66664572E-01  2.50216661E-04  8.50108558E-01 -1.28148901E+00 -1.28127033E+00  0.00000000E+00
     211  5.25169035E-01  2.75802927E-01  7.60677089E-02  6.66664675E-01  2.37846486E-04  8.87312510E-01 -1.28144271E+00 -1.28122280E+00  0.00000000E+00
     221  5.25155617E-01  2.75788834E-01  7.60599352E-02  6.66664676E-01  2.37827858E-04  8.77504709E-01 -1.28142255E+00 -1.28120242E+00  0.00000000E+00
     231  5.25100471E-01  2.75730944E-01  7.60280390E-02  6.66664538E-01  2.54159908E-04  8.91832721E-01 -1.28142719E+00 -1.28120555E+00  0.00000000E+00
     241  5.25034024E-01  2.75661208E-01  7.59896330E-02  6.66664336E-01  2.78273108E-04  8.94981163E-01 -1.28138659E+00 -1.28116396E+00  0.00000000E+00
     251  5.24969560E-01  2.75593574E-01  7.59524071E-02  6.66664081E-01  3.08713480E-04  8.91166226E-01 -1.28140452E+00 -1.28118172E+00  0.00000000E+00
     261  5.24922154E-01  2.75543812E-01  7.59249918E-02  6.66664034E-01  3.14234250E-04  9.40936039E-01 -1.28137114E+00 -1.28114985E+00  0.00000000E+00
     271  5.24892024E-01  2.75512165E-01  7.59075351E-02  6.66664111E-01  3.05016901E-04  9.72622935E-01 -1.28134616E+00 -1.28112344E+00  0.00000000E+00
     281  5.24892926E-01  2.75513106E-01  7.59080469E-02  6.66664141E-01  3.01443926E-04  9.80799554E-01 -1.28136382E+00 -1.28114215E+00  0.00000000E+00
     291  5.24885363E-01  2.75505140E-01  7.59036283E-02  6.66664268E-01  2.86260108E-04  9.63031394E-01 -1.28136100E+00 -1.28113981E+00  0.00000000E+00
     301  5.24901914E-01  2.75522502E-01  7.59131808E-02  6.66664332E-01  2.78692812E-04  9.47440340E-01 -1.28135938E+00 -1.28113830E+00  0.00000000E+00
