   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
    2141  7.10722634E-02  5.05305290E-03  2.55704508E-05  6.66182238E-01  1.11275474E-25  0.00000000E+00 -6.09107632E+00 -5.85042522E+00  0.00000000E+00
    2151  7.10558482E-02  5.05073206E-03  2.55472328E-05  6.66178771E-01  1.12036675E-25  0.00000000E+00 -6.09107821E+00 -5.85041631E+00  0.00000000E+00
    2161  7.10394132E-02  5.04840911E-03  2.55240075E-05  6.66175256E-01  1.12808352E-25  0.00000000E+00 -6.09108011E+00 -5.85040738E+00  0.00000000E+00
    2171  7.10229576E-02  5.04608394E-03  2.55007738E-05  6.66171691E-01  1.13590674E-25  0.00000000E+00 -6.09108200E+00 -5.85039844E+00  0.00000000E+00
    2181  7.10064803E-02  5.04375641E-03  2.54775304E-05  6.66168076E-01  1.14383818E-25  0.00000000E+00 -6.09108390E+00 -5.85038947E+00  0.00000000E+00
    2191  7.09899804E-02  5.04142639E-03  2.54542761E-05  6.66164410E-01  1.15187975E-25  0.00000000E+00 -6.09108580E+00 -5.85038049E+00  0.00000000E+00
    2201  7.09734570E-02  5.03909376E-03  2.54310097E-05  6.66160693E-01  1.16003342E-25  0.00000000E+00 -6.09108769E+00 -5.85037149E+00  0.00000000E+00
    2211  7.09569089E-02  5.03675837E-03  2.54077298E-05  6.66156923E-01  1.16830131E-25  0.00000000E+00 -6.09108959E+00 -5.85036248E+00  0.00000000E+00
    2221  7.09403353E-02  5.03442007E-03  2.53844351E-05  6.66153099E-01  1.17668563E-25  0.00000000E+00 -6.09109149E+00 -5.85035345E+00  0.00000000E+00
    2231  7.09237348E-02  5.03207871E-03  2.53611242E-05  6.66149220E-01  1.18518872E-25  0.00000000E+00 -6.09109339E+00 -5.85034440E+00  0.00000000E+00
    2241  7.09071065E-02  5.02973415E-03  2.53377957E-05  6.66145285E-01  1.19381306E-25  0.00000000E+00 -6.09109530E+00 -5.85033533E+00  0.00000000E+00
    2251  7.08904492E-02  5.02738622E-03  2.53144480E-05  6.66141293E-01  1.20256123E-25  0.00000000E+00 -6.09109720E+00 -5.85032625E+00  0.00000000E+00
    2261  7.08737615E-02  5.02503475E-03  2.52910797E-05  6.66137242E-01  1.21143599E-25  0.00000000E+00 -6.09109910E+00 -5.85031715E+00  0.00000000E+00
    2271  7.08570423E-02  5.02267958E-03  2.52676891E-05  6.66133132E-01  1.22044021E-25  0.00000000E+00 -6.09110101E+00 -5.85030803E+00  0.00000000E+00
    2281  7.08402902E-02  5.02032052E-03  2.52442746E-05  6.66128960E-01  1.22957691E-25  0.00000000E+00 -6.09110292E+00 -5.85029890E+00  0.00000000E+00
    2291  7.08235040E-02  5.01795740E-03  2.52208345E-05  6.66124726E-01  1.23884928E-25  0.00000000E+00 -6.09110483E+00 -5.85028975E+00  0.00000000E+00
    2301  7.08066821E-02  5.01559002E-03  2.51973671E-05  6.66120428E-01  1.24826065E-25  0.00000000E+00 -6.09110674E+00 -5.85028058E+00  0.00000000E+00
    2311  7.07898232E-02  5.01321820E-03  2.51738705E-05  6.66116064E-01  1.25781453E-25  0.00000000E+00 -6.09110865E+00 -5.85027140E+00  0.00000000E+00
    2321  7.07729257E-02  5.01084172E-03  2.51503430E-05  6.66111632E-01  1.26751458E-25  0.00000000E+00 -6.09111057E+00 -5.85026219E+00  0.00000000E+00
    2331  7.07559882E-02  5.00846038E-03  2.51267827E-05  6.66107132E-01  1.27736465E-25  0.00000000E+00 -6.09111248E+00 -5.85025297E+00  0.00000000E+00
    2341  7.07390090E-02  5.00607397E-03  2.51031875E-05  6.66102560E-01  1.28736875E-25  0.00000000E+00 -6.09111440E+00 -5.85024373E+00  0.00000000E+00
    2351  7.07219866E-02  5.00368227E-03  2.50795554E-05  6.66097916E-01  1.29753109E-25  0.00000000E+00 -6.09111632E+00 -5.85023448E+00  0.00000000E+00
    2361  7.07049191E-02  5.00128505E-03  2.50558845E-05  6.66093196E-01  1.30785606E-25  0.00000000E+00 -6.09111825E+00 -5.85022520E+00  0.00000000E+00
    2371  7.06878049E-02  4.99888207E-03  2.50321726E-05  6.66088400E-01  1.31834821E-25  0.00000000E+00 -6.09112018E+00 -5.85021591E+00  0.00000000E+00
    2381  7.06706423E-02  4.99647310E-03  2.50084174E-05  6.66083524E-01  1.32901233E-25  0.00000000E+00 -6.09112211E+00 -5.85020660E+00  0.00000000E+00
    2391  7.06534293E-02  4.99405789E-03  2.49846169E-05  6.66078568E-01  1.33985337E-25  0.00000000E+00 -6.09112404E+00 -5.85019728E+00  0.00000000E+00
    2401  7.06361641E-02  4.99163619E-03  2.49607687E-05  6.66073527E-01  1.35087648E-25  0.00000000E+00 -6.09112597E+00 -5.85018793E+00  0.00000000E+00
    2411  7.06188447E-02  4.98920775E-03  2.49368704E-05  6.66068400E-01  1.36208701E-25  0.00000000E+00 -6.09112791E+00 -5.85017857E+00  0.00000000E+00
    2421  7.06014693E-02  4.98677229E-03  2.49129199E-05  6.66063185E-01  1.37349049E-25  0.00000000E+00 -6.09112985E+00 -5.85016919E+00  0.00000000E+00
    2431  7.05840358E-02  4.98432956E-03  2.48889146E-05  6.66057878E-01  1.38509267E-25  0.00000000E+00 -6.09113180E+00 -5.85015979E+00  0.00000000E+00
    2441  7.05665422E-02  4.98187928E-03  2.48648521E-05  6.66052478E-01  1.39689947E-25  0.00000000E+00 -6.09113374E+00 -5.85015037E+00  0.00000000E+00
    2451  7.05489864E-02  4.97942118E-03  2.48407300E-05  6.66046980E-01  1.40891699E-25  0.00000000E+00 -6.09113570E+00 -5.85014093E+00  0.00000000E+00
    2461  7.05313663E-02  4.97695497E-03  2.48165457E-05  6.66041383E-01  1.42115151E-25  0.00000000E+00 -6.09113765E+00 -5.85013148E+00  0.00000000E+00
    2471  7.05136798E-02  4.97448037E-03  2.47922968E-05  6.66035684E-01  1.43360951E-25  0.00000000E+00 -6.09113961E+00 -5.85012200E+00  0.00000000E+00
