#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
    118  0.400000 -0.200000 -0.450000        1    4.36536582E-09  9.83391444E-10  4.37777569E-09  6.26006370E-09
    119  0.450000 -0.200000 -0.450000        1    2.43842599E-09  1.18144934E-09  1.11122683E-09  2.92857797E-09
    120  0.500000 -0.200000 -0.450000        1    7.35080370E-09  2.27814712E-10  2.53362731E-10  7.35869603E-09
    121 -0.450000 -0.150000 -0.450000        1    3.49547388E-09  2.03889766E-09  2.93451444E-11  4.04676444E-09
    122 -0.400000 -0.150000 -0.450000        1    7.30535793E-09  1.13073835E-09  1.08767407E-09  7.47193808E-09
    123 -0.350000 -0.150000 -0.450000        1    2.93492810E-10  3.95564028E-10  4.88952391E-10  6.94034128E-10
    124 -0.300000 -0.150000 -0.450000        1    9.58505548E-11  5.31230841E-09  4.24981412E-09  6.80372898E-09
    125 -0.250000 -0.150000 -0.450000        1    2.40859389E-09  1.44300813E-09  1.34864272E-09  3.11487306E-09
    126 -0.200000 -0.150000 -0.450000        1    3.60216523E-09  1.37720353E-09  9.10723314E-09  9.89009502E-09
    127 -0.150000 -0.150000 -0.450000        1    5.17483724E-10  5.60933321E-10  4.96345039E-09  5.02178010E-09
    128 -0.100000 -0.150000 -0.450000        1    2.94329557E-09  3.22349500E-09  9.96430115E-10  4.47736326E-09
    129 -0.050000 -0.150000 -0.450000        1    7.22438905E-10  5.12260373E-09  1.12637964E-08  1.23950029E-08
    130  0.000000 -0.150000 -0.450000        1    1.02286428E-09  2.44846780E-09  2.14251242E-09  3.41051395E-09
    131  0.050000 -0.150000 -0.450000        1    1.12683241E-10  2.62326928E-09  5.34549281E-09  5.95554637E-09
    132  0.100000 -0.150000 -0.450000        1    1.68927082E-09  2.40214481E-09  5.22298874E-09  5.99195685E-09
    133  0.150000 -0.150000 -0.450000        1    8.61599118E-09  5.31851584E-09  3.88030303E-09  1.08433697E-08
    134  0.200000 -0.150000 -0.450000        1    1.83626165E-08  2.35884364E-09  2.34274897E-09  1.86611441E-08
    135  0.250000 -0.150000 -0.450000        1    5.49452504E-09  4.36737870E-09  4.01942634E-09  8.08823777E-09
    136  0.300000 -0.150000 -0.450000        1    1.03773863E-10  4.42784891E-09  2.02677021E-09  4.87077124E-09
    137  0.350000 -0.150000 -0.450000        1    4.84291292E-11  7.10184091E-10  7.01681195E-09  7.05282616E-09
    138  0.400000 -0.150000 -0.450000        1    5.41440828E-09  4.96835811E-09  3.55591618E-09  8.16363517E-09
    139  0.450000 -0.150000 -0.450000        1    1.23028767E-09  3.24076824E-10  1.06118421E-09  1.65672733E-09
    140  0.500000 -0.150000 -0.450000        1    1.08416155E-09  6.27889155E-09  4.28134436E-10  6.38617134E-09
    141 -0.450000 -0.100000 -0.450000        1    1.56568969E-09  3.10020469E-09  3.29376497E-09  4.78660015E-09
    142 -0.400000 -0.100000 -0.450000        1    4.33402209E-10  5.35196701E-10  5.74582957E-10  8.96893839E-10
    143 -0.350000 -0.100000 -0.450000        1    3.79348252E-09  3.59472205E-09  1.02955225E-09  5.32658559E-09
    144 -0.300000 -0.100000 -0.450000        1    3.76056901E-09  1.67032340E-09  5.05378487E-09  6.51710066E-09
    145 -0.250000 -0.100000 -0.450000        1    8.95334315E-09  8.73086000E-10  1.52075718E-09  9.12344974E-09
    146 -0.200000 -0.100000 -0.450000        1    3.36633756E-09  2.01824484E-09  9.39169219E-10  4.03578736E-09
    147 -0.150000 -0.100000 -0.450000        1    2.46911737E-09  5.94973328E-10  2.44608734E-09  3.52617032E-09
    148 -0.100000 -0.100000 -0.450000        1    3.06448991E-09  1.78351194E-09  1.52765182E-09  3.86079439E-09
    149 -0.050000 -0.100000 -0.450000        1    4.47832458E-09  5.35102539E-10  9.15577048E-10  4.60217417E-09
    150  0.000000 -0.100000 -0.450000        1    4.13981786E-09  2.05247159E-08  1.95050278E-09  2.10287069E-08
    151  0.050000 -0.100000 -0.450000        1    7.14365212E-09  2.64047053E-09  6.20170357E-09  9.82165859E-09
    152  0.100000 -0.100000 -0.450000        1    2.48399312E-09  1.06805379E-08  6.12113821E-09  1.25583616E-08
    153  0.150000 -0.100000 -0.450000        1    1.30450642E-09  3.25591886E-10  7.75561721E-09  7.87129884E-09
    154  0.200000 -0.100000 -0.450000        1    1.00688224E-09  2.94355956E-10  2.10879877E-08  2.11140636E-08
    155  0.250000 -0.100000 -0.450000        1    1.46445474E-10  4.12620525E-09  1.47079431E-11  4.12882942E-09
    156  0.300000 -0.100000 -0.450000        1    4.29934262E-09  6.61036880E-09  1.46703268E-10  7.88687799E-09
    157  0.350000 -0.100000 -0.450000        1    6.17948391E-10  2.93143957E-09  4.67537096E-09  5.55286338E-09
    158  0.400000 -0.100000 -0.450000        1    1.58688101E-10  4.32073081E-09  1.83118676E-09  4.69543838E-09
    159  0.450000 -0.100000 -0.450000        1    2.86185293E-09  1.07800046E-08  3.72349890E-09  1.17585350E-08
    160  0.500000 -0.100000 -0.450000        1    6.17007370E-10  3.31521315E-09  1.84703221E-10  3.37719582E-09
    161 -0.450000 -0.050000 -0.450000        1    8.79968479E-10  7.37552239E-10  4.43736212E-09  4.58350416E-09
    162 -0.400000 -0.050000 -0.450000        1    7.32021168E-09  4.46441105E-11  2.57801156E-09  7.76103316E-09
    163 -0.350000 -0.050000 -0.450000        1    2.28002028E-10  3.45995936E-09  4.54914080E-10  3.49717751E-09
