   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
    1151  2.78956954E+00  7.78169838E+00  6.05548349E+01  6.66666638E-01  1.07898871E-26  0.00000000E+00 -6.23873595E+00 -5.90259359E+00  0.00000000E+00
    1161  2.78956959E+00  7.78169867E+00  6.05548394E+01  6.66666638E-01  1.06049045E-26  0.00000000E+00 -6.23873601E+00 -5.90259363E+00  0.00000000E+00
    1171  2.78956964E+00  7.78169896E+00  6.05548437E+01  6.66666639E-01  1.04246386E-26  0.00000000E+00 -6.23873607E+00 -5.90259368E+00  0.00000000E+00
    1181  2.78956969E+00  7.78169923E+00  6.05548479E+01  6.66666639E-01  1.02489300E-26  0.00000000E+00 -6.23873613E+00 -5.90259373E+00  0.00000000E+00
    1191  2.78956974E+00  7.78169950E+00  6.05548520E+01  6.66666640E-01  1.00776266E-26  0.00000000E+00 -6.23873618E+00 -5.90259377E+00  0.00000000E+00
    1201  2.78956979E+00  7.78169976E+00  6.05548560E+01  6.66666640E-01  9.91058233E-27  0.00000000E+00 -6.23873624E+00 -5.90259382E+00  0.00000000E+00
    1211  2.78956983E+00  7.78170001E+00  6.05548598E+01  6.66666641E-01  9.74765729E-27  0.00000000E+00 -6.23873629E+00 -5.90259386E+00  0.00000000E+00
    1221  2.78956988E+00  7.78170026E+00  6.05548636E+01  6.66666641E-01  9.58871653E-27  0.00000000E+00 -6.23873634E+00 -5.90259390E+00  0.00000000E+00
    1231  2.78956992E+00  7.78170050E+00  6.05548672E+01  6.66666642E-01  9.43363152E-27  0.00000000E+00 -6.23873639E+00 -5.90259394E+00  0.00000000E+00
    1241  2.78956996E+00  7.78170073E+00  6.05548707E+01  6.66666642E-01  9.28227826E-27  0.00000000E+00 -6.23873644E+00 -5.90259398E+00  0.00000000E+00
    1251  2.78957000E+00  7.78170095E+00  6.05548742E+01  6.66666642E-01  9.13453883E-27  0.00000000E+00 -6.23873649E+00 -5.90259402E+00  0.00000000E+00
    1261  2.78957004E+00  7.78170117E+00  6.05548775E+01  6.66666643E-01  8.99029838E-27  0.00000000E+00 -6.23873653E+00 -5.90259406E+00  0.00000000E+00
    1271  2.78957008E+00  7.78170139E+00  6.05548807E+01  6.66666643E-01  8.84944798E-27  0.00000000E+00 -6.23873658E+00 -5.90259409E+00  0.00000000E+00
    1281  2.78957012E+00  7.78170159E+00  6.05548839E+01  6.66666644E-01  8.71188145E-27  0.00000000E+00 -6.23873662E+00 -5.90259413E+00  0.00000000E+00
    1291  2.78957016E+00  7.78170179E+00  6.05548869E+01  6.66666644E-01  8.57749813E-27  0.00000000E+00 -6.23873667E+00 -5.90259416E+00  0.00000000E+00
    1301  2.78957019E+00  7.78170199E+00  6.05548899E+01  6.66666644E-01  8.44620032E-27  0.00000000E+00 -6.23873671E+00 -5.90259420E+00  0.00000000E+00
    1311  2.78957023E+00  7.78170218E+00  6.05548928E+01  6.66666645E-01  8.31789423E-27  0.00000000E+00 -6.23873675E+00 -5.90259423E+00  0.00000000E+00
    1321  2.78957026E+00  7.78170236E+00  6.05548956E+01  6.66666645E-01  8.19248915E-27  0.00000000E+00 -6.23873679E+00 -5.90259426E+00  0.00000000E+00
    1331  2.78957029E+00  7.78170254E+00  6.05548983E+01  6.66666645E-01  8.06989894E-27  0.00000000E+00 -6.23873683E+00 -5.90259430E+00  0.00000000E+00
    1341  2.78957032E+00  7.78170271E+00  6.05549010E+01  6.66666646E-01  7.95003978E-27  0.00000000E+00 -6.23873687E+00 -5.90259433E+00  0.00000000E+00
    1351  2.78957035E+00  7.78170288E+00  6.05549035E+01  6.66666646E-01  7.83283136E-27  0.00000000E+00 -6.23873691E+00 -5.90259436E+00  0.00000000E+00
    1361  2.78957038E+00  7.78170305E+00  6.05549060E+01  6.66666646E-01  7.71819557E-27  0.00000000E+00 -6.23873694E+00 -5.90259439E+00  0.00000000E+00
    1371  2.78957041E+00  7.78170321E+00  6.05549085E+01  6.66666646E-01  7.60605788E-27  0.00000000E+00 -6.23873698E+00 -5.90259442E+00  0.00000000E+00
    1381  2.78957044E+00  7.78170336E+00  6.05549108E+01  6.66666647E-01  7.49634702E-27  0.00000000E+00 -6.23873702E+00 -5.90259445E+00  0.00000000E+00
    1391  2.78957047E+00  7.78170351E+00  6.05549131E+01  6.66666647E-01  7.38899250E-27  0.00000000E+00 -6.23873705E+00 -5.90259448E+00  0.00000000E+00
    1401  2.78957049E+00  7.78170366E+00  6.05549154E+01  6.66666647E-01  7.28392774E-27  0.00000000E+00 -6.23873708E+00 -5.90259450E+00  0.00000000E+00
