   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
    1251  2.24861042E-02  6.00486807E-04  6.37359980E-07  4.10808335E-01  1.05357978E-02  6.09580543E-01 -2.99310492E-01 -2.96646369E-01  0.00000000E+00
    1261  2.25205422E-02  6.02235036E-04  6.40309545E-07  4.11513253E-01  1.05578207E-02  6.06486872E-01 -2.99301527E-01 -2.96638281E-01  0.00000000E+00
    1271  2.25224412E-02  6.01852343E-04  6.37504497E-07  4.13345932E-01  1.05058167E-02  6.06366130E-01 -2.99286195E-01 -2.96625308E-01  0.00000000E+00
    1281  2.24729447E-02  5.98739531E-04  6.30701544E-07  4.13555694E-01  1.04074470E-02  6.06755710E-01 -2.99297775E-01 -2.96636665E-01  0.00000000E+00
    1291  2.25088257E-02  6.00361716E-04  6.32256201E-07  4.15282809E-01  1.04083571E-02  6.01006500E-01 -2.99295454E-01 -2.96636558E-01  0.00000000E+00
    1301  2.24065600E-02  5.95482737E-04  6.24463749E-07  4.12987127E-01  1.03766287E-02  5.97026101E-01 -2.99274318E-01 -2.96614477E-01  0.00000000E+00
    1311  2.24226044E-02  5.96595656E-04  6.26439224E-07  4.13325091E-01  1.04203508E-02  5.94873185E-01 -2.99292390E-01 -2.96631402E-01  0.00000000E+00
    1321  2.24003398E-02  5.94867741E-04  6.21364365E-07  4.14692281E-01  1.03392792E-02  5.90949522E-01 -2.99297291E-01 -2.96638065E-01  0.00000000E+00
    1331  2.24057873E-02  5.95082837E-04  6.21044831E-07  4.15416104E-01  1.03360599E-02  5.91119797E-01 -2.99315129E-01 -2.96657764E-01  0.00000000E+00
    1341  2.24170212E-02  5.95746085E-04  6.21368031E-07  4.16413473E-01  1.03537983E-02  5.88257697E-01 -2.99301926E-01 -2.96647990E-01  0.00000000E+00
    1351  2.24768222E-02  5.98532087E-04  6.25160266E-07  4.18305126E-01  1.03650500E-02  5.86108696E-01 -2.99306923E-01 -2.96650700E-01  0.00000000E+00
    1361  2.25175865E-02  6.00895396E-04  6.28091168E-07  4.20166000E-01  1.04238189E-02  5.82404686E-01 -2.99341087E-01 -2.96684552E-01  0.00000000E+00
    1371  2.25787718E-02  6.03312385E-04  6.29859237E-07  4.23183379E-01  1.03858073E-02  5.77950018E-01 -2.99331831E-01 -2.96673025E-01  0.00000000E+00
    1381  2.25938691E-02  6.03295032E-04  6.27355561E-07  4.25443160E-01  1.03081360E-02  5.77099912E-01 -2.99310173E-01 -2.96650928E-01  0.00000000E+00
    1391  2.25428118E-02  6.00354675E-04  6.21162282E-07  4.25529109E-01  1.02375212E-02  5.75970958E-01 -2.99326846E-01 -2.96668980E-01  0.00000000E+00
    1401  2.25252207E-02  5.99365006E-04  6.19624694E-07  4.25057123E-01  1.02156552E-02  5.84602113E-01 -2.99321281E-01 -2.96665199E-01  0.00000000E+00
    1411  2.25482923E-02  6.01054503E-04  6.25156785E-07  4.23180433E-01  1.02878005E-02  5.84339100E-01 -2.99312694E-01 -2.96657928E-01  0.00000000E+00
    1421  2.25380448E-02  6.00584126E-04  6.23154891E-07  4.24126552E-01  1.02868727E-02  5.86115745E-01 -2.99280459E-01 -2.96627398E-01  0.00000000E+00
    1431  2.25749376E-02  6.03090967E-04  6.27732672E-07  4.24708666E-01  1.03804443E-02  5.85214756E-01 -2.99318687E-01 -2.96664630E-01  0.00000000E+00
    1441  2.25443025E-02  6.01604447E-04  6.24919617E-07  4.24452956E-01  1.03688614E-02  5.82337667E-01 -2.99332097E-01 -2.96679269E-01  0.00000000E+00
