   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
      31  1.23441166E-02  1.76491613E-04  4.64799504E-08  5.02610908E-01  2.32115436E-03  2.26952691E-01 -2.43359945E-01 -2.40886382E-01  0.00000000E+00
      41  1.31620512E-02  1.99706606E-04  6.06490732E-08  4.93104946E-01  2.54760748E-03  2.25283555E-01 -2.44107443E-01 -2.41653974E-01  0.00000000E+00
      51  1.47015009E-02  2.48434544E-04  9.50808278E-08  4.86491384E-01  3.10910709E-03  3.28770598E-01 -2.44707893E-01 -2.42194703E-01  0.00000000E+00
      61  1.52723570E-02  2.66060801E-04  1.06338782E-07  4.99264203E-01  3.15872686E-03  2.96437238E-01 -2.45014256E-01 -2.42533558E-01  0.00000000E+00
      71  1.41026325E-02  2.31209044E-04  8.54018478E-08  4.67479445E-01  3.11145432E-03  3.29493613E-01 -2.44830122E-01 -2.42388128E-01  0.00000000E+00
      81  1.41078886E-02  2.27741439E-04  7.91447206E-08  4.91352900E-01  2.76340430E-03  3.49422532E-01 -2.45579309E-01 -2.43120930E-01  0.00000000E+00
      91  1.38791398E-02  2.17178665E-04  7.03928660E-08  5.02522921E-01  2.36290464E-03  3.42216805E-01 -2.45119208E-01 -2.42660318E-01  0.00000000E+00
     101  1.37684530E-02  2.17079962E-04  7.36011001E-08  4.79376726E-01  2.64796874E-03  4.30223843E-01 -2.44521143E-01 -2.42027582E-01  0.00000000E+00
     111  1.41266599E-02  2.30003808E-04  8.18596956E-08  4.84202995E-01  2.93015515E-03  4.08523646E-01 -2.44499164E-01 -2.42021889E-01  0.00000000E+00
     121  1.38326525E-02  2.21158146E-04  7.62036878E-08  4.80663493E-01  2.86995486E-03  3.66584738E-01 -2.44620136E-01 -2.42138925E-01  0.00000000E+00
     131  1.38716480E-02  2.26295195E-04  8.37110293E-08  4.55107587E-01  3.26043689E-03  3.82665790E-01 -2.44448194E-01 -2.41954767E-01  0.00000000E+00
     141  1.40786288E-02  2.29549845E-04  8.24078889E-08  4.78693035E-01  3.01685931E-03  3.70300578E-01 -2.44461906E-01 -2.41960257E-01  0.00000000E+00
     151  1.47208549E-02  2.48790775E-04  9.30808997E-08  4.98731087E-01  3.08858456E-03  3.82189773E-01 -2.44292040E-01 -2.41793202E-01  0.00000000E+00
     161  1.43388405E-02  2.37689961E-04  8.63173145E-08  4.90721916E-01  3.08862367E-03  4.06366577E-01 -2.44194177E-01 -2.41689094E-01  0.00000000E+00
     171  1.46060161E-02  2.50334662E-04  1.03319070E-07  4.50437286E-01  3.56136947E-03  4.19692963E-01 -2.44595707E-01 -2.42084210E-01  0.00000000E+00
     181  1.46032795E-02  2.48271491E-04  9.98454687E-08  4.60050180E-01  3.37047121E-03  4.03747221E-01 -2.44591556E-01 -2.42067904E-01  0.00000000E+00
     191  1.45495060E-02  2.46582517E-04  9.74303304E-08  4.65868294E-01  3.35879285E-03  3.79876232E-01 -2.44529906E-01 -2.42014543E-01  0.00000000E+00
     201  1.43551592E-02  2.41234265E-04  9.30999194E-08  4.66726431E-01  3.38471244E-03  3.70447433E-01 -2.44422817E-01 -2.41915866E-01  0.00000000E+00
     211  1.45861061E-02  2.47439010E-04  9.56286830E-08  4.79368331E-01  3.33859122E-03  3.69871649E-01 -2.44596260E-01 -2.42111025E-01  0.00000000E+00
     221  1.44808800E-02  2.45715464E-04  9.47715985E-08  4.76770801E-01  3.46709868E-03  3.73584388E-01 -2.44616225E-01 -2.42138115E-01  0.00000000E+00
     231  1.49943464E-02  2.65735790E-04  1.17839208E-07  4.43752006E-01  3.93738473E-03  3.71444222E-01 -2.44673907E-01 -2.42196584E-01  0.00000000E+00
     241  1.47479615E-02  2.59214141E-04  1.13671765E-07  4.36084580E-01  4.01500619E-03  3.73132646E-01 -2.44367819E-01 -2.41889643E-01  0.00000000E+00
     251  1.47565741E-02  2.63039516E-04  1.26887487E-07  3.88698376E-01  4.35876156E-03  3.67542447E-01 -2.44508159E-01 -2.42038568E-01  0.00000000E+00
     261  1.46448808E-02  2.58223449E-04  1.21880301E-07  3.90714411E-01  4.21128591E-03  3.64656455E-01 -2.44466256E-01 -2.41988893E-01  0.00000000E+00
