   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
   19500  1.88030938E-03 -8.86262314E-03  3.14202889E-01  3.14333481E-01  0.00000000E+00
   19600  1.88077340E-03 -8.87432233E-03  3.14203525E-01  3.14334450E-01  0.00000000E+00
   19700  1.88133916E-03 -8.88627991E-03  3.14204120E-01  3.14335385E-01  0.00000000E+00
   19800  1.88200741E-03 -8.89850208E-03  3.14204623E-01  3.14336238E-01  0.00000000E+00
   19900  1.88277894E-03 -8.91099510E-03  3.14204979E-01  3.14336952E-01  0.00000000E+00
   20000  1.88365456E-03 -8.92376535E-03  3.14205126E-01  3.14337467E-01  0.00000000E+00
   20100  1.88463513E-03 -8.93681924E-03  3.14204996E-01  3.14337714E-01  0.00000000E+00
   20200  1.88572155E-03 -8.95016323E-03  3.14204514E-01  3.14337618E-01  0.00000000E+00
   20300  1.88691480E-03 -8.96380378E-03  3.14203595E-01  3.14337095E-01  0.00000000E+00
   20400  1.88821596E-03 -8.97774731E-03  3.14202146E-01  3.14336052E-01  0.00000000E+00
   20500  1.88962619E-03 -8.99200019E-03  3.14200063E-01  3.14334386E-01  0.00000000E+00
   20600  1.89114678E-03 -9.00656866E-03  3.14197232E-01  3.14331982E-01  0.00000000E+00
   20700  1.89277919E-03 -9.02145882E-03  3.14193526E-01  3.14328715E-01  0.00000000E+00
   20800  1.89452505E-03 -9.03667659E-03  3.14188806E-01  3.14324445E-01  0.00000000E+00
   20900  1.89638621E-03 -9.05222763E-03  3.14182917E-01  3.14319017E-01  0.00000000E+00
   21000  1.89836476E-03 -9.06811734E-03  3.14175690E-01  3.14312263E-01  0.00000000E+00
   21100  1.90046310E-03 -9.08435075E-03  3.14166936E-01  3.14303995E-01  0.00000000E+00
   21200  1.90268396E-03 -9.10093251E-03  3.14156452E-01  3.14294008E-01  0.00000000E+00
   21300  1.90503048E-03 -9.11786686E-03  3.14144009E-01  3.14282076E-01  0.00000000E+00
   21400  1.90750621E-03 -9.13515752E-03  3.14129363E-01  3.14267953E-01  0.00000000E+00
   21500  1.91011524E-03 -9.15280770E-03  3.14112243E-01  3.14251370E-01  0.00000000E+00
   21600  1.91286223E-03 -9.17082004E-03  3.14092354E-01  3.14232032E-01  0.00000000E+00
   21700  1.91575246E-03 -9.18919659E-03  3.14069377E-01  3.14209619E-01  0.00000000E+00
   21800  1.91879193E-03 -9.20793879E-03  3.14042964E-01  3.14183786E-01  0.00000000E+00
   21900  1.92198739E-03 -9.22704744E-03  3.14012741E-01  3.14154157E-01  0.00000000E+00
   22000  1.92534644E-03 -9.24652277E-03  3.13978305E-01  3.14120329E-01  0.00000000E+00
   22100  1.92887757E-03 -9.26636439E-03  3.13939224E-01  3.14081872E-01  0.00000000E+00
   22200  1.93259016E-03 -9.28657143E-03  3.13895037E-01  3.14038325E-01  0.00000000E+00
   22300  1.93649455E-03 -9.30714256E-03  3.13845258E-01  3.13989202E-01  0.00000000E+00
   22400  1.94060202E-03 -9.32807616E-03  3.13789375E-01  3.13933991E-01  0.00000000E+00
   22500  1.94492470E-03 -9.34937041E-03  3.13726856E-01  3.13872161E-01  0.00000000E+00
   22600  1.94947550E-03 -9.37102353E-03  3.13657151E-01  3.13803163E-01  0.00000000E+00
   22700  1.95426793E-03 -9.39303397E-03  3.13579704E-01  3.13726440E-01  0.00000000E+00
   22800  1.95931585E-03 -9.41540069E-03  3.13493958E-01  3.13641436E-01  0.00000000E+00
   22900  1.96463312E-03 -9.43812342E-03  3.13399368E-01  3.13547607E-01  0.00000000E+00
   23000  1.97023316E-03 -9.46120301E-03  3.13295419E-01  3.13444438E-01  0.00000000E+00
   23100  1.97612833E-03 -9.48464175E-03  3.13181641E-01  3.13331460E-01  0.00000000E+00
   23200  1.98232924E-03 -9.50844370E-03  3.13057634E-01  3.13208273E-01  0.00000000E+00
   23300  1.98884391E-03 -9.53261499E-03  3.12923090E-01  3.13074570E-01  0.00000000E+00
   23400  1.99567683E-03 -9.55716411E-03  3.12777829E-01  3.12930172E-01  0.00000000E+00
   23500  2.00282786E-03 -9.58210213E-03  3.12621824E-01  3.12775052E-01  0.00000000E+00
   23600  2.01029124E-03 -9.60744274E-03  3.12455239E-01  3.12609374E-01  0.00000000E+00
   23700  2.01805452E-03 -9.63320224E-03  3.12278461E-01  3.12433526E-01  0.00000000E+00
   23800  2.02609767E-03 -9.65939930E-03  3.12092130E-01  3.12248149E-01  0.00000000E+00
   23900  2.03439247E-03 -9.68605448E-03  3.11897165E-01  3.12054162E-01  0.00000000E+00
   24000  2.04290222E-03 -9.71318947E-03  3.11694780E-01  3.11852778E-01  0.00000000E+00
   24100  2.05158195E-03 -9.74082598E-03  3.11486479E-01  3.11645502E-01  0.00000000E+00
   24200  2.06037910E-03 -9.76898426E-03  3.11274045E-01  3.11434117E-01  0.00000000E+00
   24300  2.06923483E-03 -9.79768118E-03  3.11059500E-01  3.11220643E-01  0.00000000E+00
   24400  2.07808569E-03 -9.82692782E-03  3.10845046E-01  3.11007282E-01  0.00000000E+00
   24500  2.08686569E-03 -9.85672670E-03  3.10632988E-01  3.10796337E-01  0.00000000E+00
   24600  2.09550846E-03 -9.88706875E-03  3.10425639E-01  3.10590120E-01  0.00000000E+00
   24700  2.10394940E-03 -9.91793007E-03  3.10225220E-01  3.10390849E-01  0.00000000E+00
   24800  2.11212749E-03 -9.94926911E-03  3.10033758E-01  3.10200549E-01  0.00000000E+00
   24900  2.11998681E-03 -9.98102437E-03  3.09853002E-01  3.10020964E-01  0.00000000E+00
   25000  2.12747753E-03 -1.00131133E-02  3.09684350E-01  3.09853490E-01  0.00000000E+00
   25100  2.13455669E-03 -1.00454327E-02  3.09528811E-01  3.09699131E-01  0.00000000E+00
   25200  2.14118860E-03 -1.00778610E-02  3.09386990E-01  3.09558488E-01  0.00000000E+00
   25300  2.14734517E-03 -1.01102617E-02  3.09259108E-01  3.09431777E-01  0.00000000E+00
   25400  2.15300621E-03 -1.01424894E-02  3.09145036E-01  3.09318862E-01  0.00000000E+00
   25500  2.15815975E-03 -1.01743958E-02  3.09044348E-01  3.09219315E-01  0.00000000E+00
   25600  2.16280239E-03 -1.02058367E-02  3.08956391E-01  3.09132477E-01  0.00000000E+00
   25700  2.16693946E-03 -1.02366783E-02  3.08880343E-01  3.09057521E-01  0.00000000E+00
   25800  2.17058518E-03 -1.02668028E-02  3.08815274E-01  3.08993515E-01  0.00000000E+00
   25900  2.17376237E-03 -1.02961124E-02  3.08760202E-01  3.08939472E-01  0.00000000E+00
   26000  2.17650192E-03 -1.03245318E-02  3.08714129E-01  3.08894394E-01  0.00000000E+00
   26100  2.17884190E-03 -1.03520089E-02  3.08676078E-01  3.08857301E-01  0.00000000E+00
   26200  2.18082621E-03 -1.03785143E-02  3.08645113E-01  3.08827258E-01  0.00000000E+00
