   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     971  3.76500107E-02  1.66096976E-03  4.55239940E-06  4.49958256E-01  1.09842980E-03  2.06339067E-01 -1.25249748E+00 -1.23557322E+00  0.00000000E+00
     981  3.77367148E-02  1.66774118E-03  4.57504148E-06  4.51702234E-01  1.09949050E-03  2.06542033E-01 -1.25280143E+00 -1.23587311E+00  0.00000000E+00
     991  3.77672790E-02  1.66748893E-03  4.55204599E-06  4.54293075E-01  1.08793995E-03  2.05821114E-01 -1.25260059E+00 -1.23567339E+00  0.00000000E+00
    1001  3.76381097E-02  1.66011051E-03  4.52960309E-06  4.52145923E-01  1.09859563E-03  2.02860896E-01 -1.25239240E+00 -1.23547119E+00  0.00000000E+00
    1011  3.75239618E-02  1.65046989E-03  4.47892205E-06  4.51928727E-01  1.09380829E-03  2.01636636E-01 -1.25241843E+00 -1.23546329E+00  0.00000000E+00
    1021  3.75108908E-02  1.64985649E-03  4.47358110E-06  4.52175156E-01  1.09546590E-03  2.06962337E-01 -1.25283219E+00 -1.23584474E+00  0.00000000E+00
    1031  3.75659407E-02  1.65344988E-03  4.48080478E-06  4.53672959E-01  1.09303132E-03  2.04864814E-01 -1.25261011E+00 -1.23564402E+00  0.00000000E+00
    1041  3.77315469E-02  1.67138399E-03  4.59571249E-06  4.51623138E-01  1.11768657E-03  2.07163501E-01 -1.25261897E+00 -1.23565366E+00  0.00000000E+00
    1051  3.77184711E-02  1.66989769E-03  4.58404886E-06  4.52040758E-01  1.11543180E-03  2.05705964E-01 -1.25261960E+00 -1.23566330E+00  0.00000000E+00
    1061  3.77765575E-02  1.67367827E-03  4.60004711E-06  4.52609733E-01  1.11270360E-03  2.02313867E-01 -1.25267423E+00 -1.23574709E+00  0.00000000E+00
    1071  3.78419066E-02  1.67644107E-03  4.58974612E-06  4.55634210E-01  1.10287287E-03  2.00292703E-01 -1.25243083E+00 -1.23553693E+00  0.00000000E+00
    1081  3.78387074E-02  1.67427421E-03  4.57069519E-06  4.56489635E-01  1.09418843E-03  1.98614409E-01 -1.25243283E+00 -1.23551921E+00  0.00000000E+00
    1091  3.79786268E-02  1.68922453E-03  4.67235197E-06  4.54192450E-01  1.11377951E-03  2.00015946E-01 -1.25268804E+00 -1.23577410E+00  0.00000000E+00
    1101  3.79669859E-02  1.68643480E-03  4.64364182E-06  4.55750114E-01  1.10518124E-03  1.99700205E-01 -1.25271637E+00 -1.23582103E+00  0.00000000E+00
    1111  3.79720447E-02  1.68744201E-03  4.64018678E-06  4.56804088E-01  1.10799244E-03  1.99194262E-01 -1.25287645E+00 -1.23598915E+00  0.00000000E+00
    1121  3.80106668E-02  1.68903239E-03  4.63800133E-06  4.58081895E-01  1.10192726E-03  2.01455102E-01 -1.25312757E+00 -1.23623271E+00  0.00000000E+00
    1131  3.79707135E-02  1.68423514E-03  4.60435049E-06  4.58944678E-01  1.09397918E-03  2.01629856E-01 -1.25297427E+00 -1.23609014E+00  0.00000000E+00
    1141  3.80097959E-02  1.68517456E-03  4.59145318E-06  4.61061618E-01  1.08481947E-03  2.06214304E-01 -1.25269797E+00 -1.23581741E+00  0.00000000E+00
    1151  3.80367121E-02  1.68514095E-03  4.57204841E-06  4.63317910E-01  1.07543227E-03  2.07339776E-01 -1.25257897E+00 -1.23570130E+00  0.00000000E+00
    1161  3.81689067E-02  1.69518329E-03  4.59811289E-06  4.66634340E-01  1.07528956E-03  2.05761080E-01 -1.25257421E+00 -1.23572179E+00  0.00000000E+00
    1171  3.82784088E-02  1.70449392E-03  4.63655654E-06  4.68034590E-01  1.07952850E-03  2.04313388E-01 -1.25242347E+00 -1.23558620E+00  0.00000000E+00
    1181  3.81785055E-02  1.69684393E-03  4.60135248E-06  4.67302759E-01  1.07947579E-03  2.04411042E-01 -1.25206078E+00 -1.23522852E+00  0.00000000E+00
    1191  3.81370609E-02  1.69330387E-03  4.58245255E-06  4.67270285E-01  1.07777388E-03  2.03940053E-01 -1.25199938E+00 -1.23512556E+00  0.00000000E+00
    1201  3.81558783E-02  1.69901179E-03  4.66193677E-06  4.61665346E-01  1.09705044E-03  2.07187839E-01 -1.25209547E+00 -1.23523358E+00  0.00000000E+00
    1211  3.83108011E-02  1.71310356E-03  4.76882897E-06  4.58344373E-01  1.10718138E-03  2.07419727E-01 -1.25188145E+00 -1.23501844E+00  0.00000000E+00
    1221  3.81684901E-02  1.70121629E-03  4.71307768E-06  4.57169454E-01  1.10265395E-03  2.08406979E-01 -1.25180115E+00 -1.23493536E+00  0.00000000E+00
    1231  3.83129720E-02  1.71450889E-03  4.78146741E-06  4.57798816E-01  1.11277171E-03  2.12622392E-01 -1.25210518E+00 -1.23522779E+00  0.00000000E+00
    1241  3.84142855E-02  1.72123533E-03  4.79708990E-06  4.60270573E-01  1.10804736E-03  2.12932488E-01 -1.25218657E+00 -1.23529571E+00  0.00000000E+00
    1251  3.83767272E-02  1.71702403E-03  4.76967759E-06  4.60719119E-01  1.10205918E-03  2.10949011E-01 -1.25230433E+00 -1.23540582E+00  0.00000000E+00
    1261  3.83847075E-02  1.71915257E-03  4.77319210E-06  4.61657317E-01  1.10889923E-03  2.09508745E-01 -1.25223740E+00 -1.23531789E+00  0.00000000E+00
    1271  3.83208105E-02  1.71400311E-03  4.74770226E-06  4.61309878E-01  1.10777925E-03  2.08683382E-01 -1.25242371E+00 -1.23548697E+00  0.00000000E+00
    1281  3.82275457E-02  1.70726004E-03  4.71639009E-06  4.60627110E-01  1.10956691E-03  2.11417494E-01 -1.25205187E+00 -1.23513301E+00  0.00000000E+00
    1291  3.83356161E-02  1.71552494E-03  4.74807950E-06  4.62222466E-01  1.10952489E-03  2.10573823E-01 -1.25217609E+00 -1.23524394E+00  0.00000000E+00
