   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
    1071  2.94922740E-02  1.01637631E-03  1.67287549E-06  4.60199487E-01  1.69312773E-02  7.93579646E-01 -3.21066700E-01 -3.18381731E-01  0.00000000E+00
    1081  2.94061385E-02  1.00990729E-03  1.65279770E-06  4.59823821E-01  1.67700556E-02  7.88941775E-01 -3.21033994E-01 -3.18348599E-01  0.00000000E+00
    1091  2.93292757E-02  1.00577927E-03  1.64386523E-06  4.58323999E-01  1.68147039E-02  7.85994197E-01 -3.21039248E-01 -3.18353348E-01  0.00000000E+00
    1101  2.93047001E-02  1.00315929E-03  1.63274065E-06  4.59175756E-01  1.66785190E-02  8.02059594E-01 -3.20997724E-01 -3.18312332E-01  0.00000000E+00
    1111  2.93648959E-02  1.00907070E-03  1.68060815E-06  4.49823522E-01  1.69533970E-02  7.95884618E-01 -3.21021829E-01 -3.18335218E-01  0.00000000E+00
    1121  2.93073809E-02  1.00394573E-03  1.66176491E-06  4.50423880E-01  1.67512097E-02  7.94602953E-01 -3.21001637E-01 -3.18318697E-01  0.00000000E+00
    1131  2.93514784E-02  1.00666393E-03  1.66654110E-06  4.51816758E-01  1.67663981E-02  7.92625819E-01 -3.21022513E-01 -3.18340552E-01  0.00000000E+00
    1141  2.92638487E-02  1.00109161E-03  1.64979515E-06  4.51266947E-01  1.67160514E-02  7.93834402E-01 -3.20967049E-01 -3.18284093E-01  0.00000000E+00
    1151  2.94637563E-02  1.01893247E-03  1.73660188E-06  4.42444367E-01  1.74207328E-02  7.98144731E-01 -3.20960287E-01 -3.18277505E-01  0.00000000E+00
    1161  2.94232461E-02  1.01524054E-03  1.72136249E-06  4.43310308E-01  1.72698333E-02  7.94287742E-01 -3.20973118E-01 -3.18288594E-01  0.00000000E+00
    1171  2.96199978E-02  1.03019747E-03  1.78160890E-06  4.40435495E-01  1.76556365E-02  8.09093429E-01 -3.21057990E-01 -3.18373612E-01  0.00000000E+00
