#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
    145 -0.250000 -0.100000 -0.450000        1    1.95148601E-09  3.11054464E-09  5.82230366E-10  3.71789965E-09
    146 -0.200000 -0.100000 -0.450000        1    5.60685476E-09  5.52322575E-09  8.02034339E-10  7.91113785E-09
    147 -0.150000 -0.100000 -0.450000        1    6.83823874E-10  1.54181335E-08  8.88182335E-09  1.78065505E-08
    148 -0.100000 -0.100000 -0.450000        1    4.10473610E-09  6.53618351E-10  5.25854857E-09  6.70286568E-09
    149 -0.050000 -0.100000 -0.450000        1    1.77878457E-10  2.56722252E-09  9.94630775E-09  1.02738167E-08
    150  0.000000 -0.100000 -0.450000        1    2.62739420E-09  2.15636715E-08  6.20993297E-10  2.17320216E-08
    151  0.050000 -0.100000 -0.450000        1    5.44380630E-09  3.50713442E-09  1.32529692E-09  6.60994938E-09
    152  0.100000 -0.100000 -0.450000        1    8.31835928E-09  2.62994234E-09  4.28765676E-10  8.73473170E-09
    153  0.150000 -0.100000 -0.450000        1    2.42608714E-09  3.66289739E-09  6.38729431E-09  7.75243476E-09
    154  0.200000 -0.100000 -0.450000        1    3.53292659E-09  3.65492907E-09  1.51618344E-09  5.30461016E-09
    155  0.250000 -0.100000 -0.450000        1    1.16362676E-09  6.67763019E-09  2.15941365E-09  7.11391872E-09
    156  0.300000 -0.100000 -0.450000        1    1.12195855E-09  1.02465459E-09  2.50672758E-09  2.93127808E-09
    157  0.350000 -0.100000 -0.450000        1    2.42387776E-09  1.07562498E-09  2.26895355E-09  3.49002904E-09
    158  0.400000 -0.100000 -0.450000        1    5.04919783E-09  6.27420436E-09  2.32476892E-09  8.38239761E-09
    159  0.450000 -0.100000 -0.450000        1    2.38559945E-09  9.83386699E-12  8.05648442E-09  8.40226890E-09
    160  0.500000 -0.100000 -0.450000        1    2.06555229E-09  7.93495423E-10  4.36429326E-09  4.89317861E-09
    161 -0.450000 -0.050000 -0.450000        1    3.84454230E-09  2.68513462E-09  2.37527365E-09  5.25665087E-09
    162 -0.400000 -0.050000 -0.450000        1    4.84934236E-09  7.28849584E-09  1.00559355E-10  8.75490749E-09
    163 -0.350000 -0.050000 -0.450000        1    5.76747192E-12  1.31981305E-09  5.01426181E-09  5.18505171E-09
    164 -0.300000 -0.050000 -0.450000        1    2.17220543E-09  4.89477360E-10  6.78343005E-09  7.13953694E-09
    165 -0.250000 -0.050000 -0.450000        1    4.23256878E-09  1.06679471E-09  2.40504495E-09  4.98366639E-09
    166 -0.200000 -0.050000 -0.450000        1    4.94097643E-10  9.74927787E-11  3.02101295E-09  3.06270412E-09
    167 -0.150000 -0.050000 -0.450000        1    5.47325630E-09  1.16244328E-08  4.17491580E-09  1.35097703E-08
    168 -0.100000 -0.050000 -0.450000        1    2.02649751E-09  4.81415290E-09  2.36214933E-09  5.73258317E-09
    169 -0.050000 -0.050000 -0.450000        1    1.55475743E-08  4.55762957E-10  5.44030649E-10  1.55637642E-08
    170  0.000000 -0.050000 -0.450000        1    9.71043551E-09  1.95982929E-09  1.07220256E-09  9.96409088E-09
    171  0.050000 -0.050000 -0.450000        1    1.75202286E-10  9.23220984E-09  8.39461285E-09  1.24793397E-08
    172  0.100000 -0.050000 -0.450000        1    2.80920829E-09  1.19382231E-09  3.25913993E-09  4.46529462E-09
    173  0.150000 -0.050000 -0.450000        1    1.44269155E-08  4.97342795E-09  6.95154635E-10  1.52759326E-08
    174  0.200000 -0.050000 -0.450000        1    1.93568323E-09  5.45570667E-09  5.55015505E-10  5.81546619E-09
    175  0.250000 -0.050000 -0.450000        1    4.89229136E-09  8.82189947E-11  3.22313685E-09  5.85925836E-09
    176  0.300000 -0.050000 -0.450000        1    9.07131094E-09  9.47466002E-10  2.43207169E-09  9.43935097E-09
    177  0.350000 -0.050000 -0.450000        1    4.44551270E-09  8.58331415E-11  2.78500002E-09  5.24653939E-09
    178  0.400000 -0.050000 -0.450000        1    6.94505545E-10  1.99217096E-09  9.44269456E-10  2.31143416E-09
    179  0.450000 -0.050000 -0.450000        1    1.41443599E-08  1.65654177E-08  5.89584170E-09  2.25662786E-08
    180  0.500000 -0.050000 -0.450000        1    3.13881370E-09  1.33333718E-08  3.62992546E-10  1.37026537E-08
    181 -0.450000  0.000000 -0.450000        1    1.79356443E-10  4.75438685E-11  7.40600335E-10  7.63490674E-10
    182 -0.400000  0.000000 -0.450000        1    4.44090279E-09  6.98484863E-10  1.16593665E-09  4.64423373E-09
    183 -0.350000  0.000000 -0.450000        1    5.05936069E-10  2.95755193E-09  3.00721233E-09  4.24810672E-09
    184 -0.300000  0.000000 -0.450000        1    3.33768105E-10  3.87152595E-10  1.58491824E-09  1.66530901E-09
    185 -0.250000  0.000000 -0.450000        1    2.81269295E-09  7.68023511E-10  2.06918249E-09  3.57527872E-09
    186 -0.200000  0.000000 -0.450000        1    1.10002132E-09  1.37694245E-08  2.85708917E-09  1.41056747E-08
    187 -0.150000  0.000000 -0.450000        1    5.44364544E-09  7.27088845E-09  3.12872025E-09  9.60666357E-09
    188 -0.100000  0.000000 -0.450000        1    4.85038260E-10  5.37765420E-09  4.23627019E-09  6.86297399E-09
    189 -0.050000  0.000000 -0.450000        1    3.26437660E-09  1.25522876E-08  2.98073760E-09  1.33079253E-08
    190  0.000000  0.000000 -0.450000        1    2.34984729E-09  1.77356556E-09  1.20965818E-08  1.24496831E-08
    191  0.050000  0.000000 -0.450000        1    1.50704521E-09  3.95551902E-09  1.69817555E-09  4.56082407E-09
    192  0.100000  0.000000 -0.450000        1    2.39687999E-09  5.40050851E-10  1.19408856E-09  2.73176428E-09
    193  0.150000  0.000000 -0.450000        1    1.19463223E-09  6.32118148E-10  1.48795140E-09  2.01015395E-09
    194  0.200000  0.000000 -0.450000        1    1.61284327E-09  1.97075898E-09  5.49166900E-09  6.05339432E-09
    195  0.250000  0.000000 -0.450000        1    3.96685683E-09  1.82706439E-09  1.59901996E-10  4.37031876E-09
    196  0.300000  0.000000 -0.450000        1    1.40452870E-09  2.39389829E-09  2.37067864E-09  3.65014618E-09
    197  0.350000  0.000000 -0.450000        1    4.57249007E-09  2.61010534E-09  1.83976646E-09  5.57719068E-09
    198  0.400000  0.000000 -0.450000        1    1.19146805E-09  2.03191516E-09  1.87819021E-09  3.01261910E-09
    199  0.450000  0.000000 -0.450000        1    1.47994508E-09  6.26765750E-09  2.51122539E-09  6.91230938E-09
