#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
    204 -0.300000  0.050000 -0.450000        1    2.66596412E-09  4.67754932E-09  5.94920168E-09  8.02370444E-09
    205 -0.250000  0.050000 -0.450000        1    3.57446211E-09  7.97511806E-10  1.85819168E-09  4.10678472E-09
    206 -0.200000  0.050000 -0.450000        1    7.40667972E-10  2.66823238E-09  8.10428720E-09  8.56431691E-09
    207 -0.150000  0.050000 -0.450000        1    2.76156614E-09  7.04804838E-09  3.52543244E-09  8.35044354E-09
    208 -0.100000  0.050000 -0.450000        1    4.96652187E-09  4.42404565E-09  2.29819998E-09  7.03706207E-09
    209 -0.050000  0.050000 -0.450000        1    3.00017267E-10  7.52864585E-09  1.45917634E-10  7.53603415E-09
    210  0.000000  0.050000 -0.450000        1    1.45956390E-09  3.98432562E-09  3.40001789E-09  5.43739819E-09
    211  0.050000  0.050000 -0.450000        1    7.29425339E-09  3.18269305E-09  4.85015667E-09  9.31985447E-09
    212  0.100000  0.050000 -0.450000        1    1.39528544E-09  1.59423541E-09  3.53875032E-09  4.12445897E-09
    213  0.150000  0.050000 -0.450000        1    1.94696686E-09  5.55838685E-09  5.42062883E-10  5.91440415E-09
    214  0.200000  0.050000 -0.450000        1    4.52506963E-09  2.83124570E-09  1.21616728E-09  5.47460229E-09
    215  0.250000  0.050000 -0.450000        1    3.32310076E-09  2.84275590E-09  7.27008539E-09  8.48400857E-09
    216  0.300000  0.050000 -0.450000        1    8.90999316E-11  2.01954880E-10  1.36877330E-09  1.38645768E-09
    217  0.350000  0.050000 -0.450000        1    1.51655825E-09  4.03406532E-09  6.42723605E-10  4.35737600E-09
    218  0.400000  0.050000 -0.450000        1    3.08766941E-10  5.95249124E-09  3.13609079E-09  6.73517294E-09
    219  0.450000  0.050000 -0.450000        1    8.18151573E-10  3.30014563E-09  2.57350072E-09  4.26418094E-09
    220  0.500000  0.050000 -0.450000        1    6.13096535E-09  6.60115484E-09  2.10472400E-08  2.28943289E-08
    221 -0.450000  0.100000 -0.450000        1    2.67115904E-09  7.93653818E-09  5.14022843E-09  9.82576599E-09
