   #Iter                 Tot                 Exc                 Ani                  DM                  PD               BiqDM                  BQ                 Dip              Zeeman                 LSF                Chir                Ring                  SA
    2250 -2.81899425E-01 -2.79579499E-01  0.00000000E+00 -2.32052551E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  5.99673200E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2300 -2.74626562E-01 -2.71408130E-01  0.00000000E+00 -3.21866523E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.33099903E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2350 -2.66731113E-01 -2.64260371E-01  0.00000000E+00 -2.47115890E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.17617368E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2400 -2.75810641E-01 -2.72884104E-01  0.00000000E+00 -2.92785711E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.32018463E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2450 -2.81496966E-01 -2.79060688E-01  0.00000000E+00 -2.43782123E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.54327801E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2500 -2.66282634E-01 -2.63538733E-01  0.00000000E+00 -2.74858616E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.68569817E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2550 -2.82352510E-01 -2.80211334E-01  0.00000000E+00 -2.14127688E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.00753790E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2600 -2.79191931E-01 -2.76372840E-01  0.00000000E+00 -2.81621781E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -2.87316779E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2650 -2.75638586E-01 -2.72968884E-01  0.00000000E+00 -2.67164326E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.94071774E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2700 -2.71540157E-01 -2.68815238E-01  0.00000000E+00 -2.72726593E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.34677326E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2750 -2.82121590E-01 -2.79440034E-01  0.00000000E+00 -2.68111675E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -4.40057291E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2800 -2.69734748E-01 -2.67118613E-01  0.00000000E+00 -2.61640410E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.69307151E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2850 -2.77950086E-01 -2.75463405E-01  0.00000000E+00 -2.48651021E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.71062913E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2900 -2.65568908E-01 -2.62665958E-01  0.00000000E+00 -2.90027582E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -2.67411149E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2950 -2.80085890E-01 -2.77705798E-01  0.00000000E+00 -2.38038332E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.91430141E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3000 -2.70661077E-01 -2.68434852E-01  0.00000000E+00 -2.22736768E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.14206529E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3050 -2.68054210E-01 -2.66010817E-01  0.00000000E+00 -2.04190465E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.48867299E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3100 -2.77057738E-01 -2.74378711E-01  0.00000000E+00 -2.67985255E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  8.25235277E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
